"","X.1","X","ID","Player","Season","Top.px...Location.","Left.px...location.","Date","Team","Opponent","Location","Quarter","Game_Clock","Outcome..1.if.made..0.otherwise.","Shot_Value","Shot_Distance.ft.","Team_Score","Opponent_Score"
"716",716,716,"abdursh01","Shareef Abdur-Rahim",2001,"312",251,112000,"VAN","DEN","HOME","3","8:10",0,3,26,56,60
"719",719,719,"abdursh01","Shareef Abdur-Rahim",2001,"312",264,112000,"VAN","DEN","HOME","4","9:12",0,3,26,73,75
"720",720,720,"abdursh01","Shareef Abdur-Rahim",2001,"379",302,112000,"VAN","DEN","HOME","4","0:00",0,3,33,92,95
"819",819,819,"abdursh01","Shareef Abdur-Rahim",2001,"314",232,120100,"VAN","IND","HOME","4","00:21.2",1,3,26,76,76
"821",821,821,"abdursh01","Shareef Abdur-Rahim",2001,"314",239,120100,"VAN","IND","HOME","1OT","1:00",0,3,26,76,82
"903",903,903,"abdursh01","Shareef Abdur-Rahim",2001,"295",234,121300,"VAN","SEA","HOME","4","4:22",0,3,25,86,91
"917",917,917,"abdursh01","Shareef Abdur-Rahim",2001,"297",239,121500,"VAN","LAL","AWAY","3","3:24",0,3,25,50,68
"934",934,934,"abdursh01","Shareef Abdur-Rahim",2001,"318",228,121700,"VAN","ORL","HOME","4","1:22",0,3,27,91,97
"997",997,997,"abdursh01","Shareef Abdur-Rahim",2001,"299",213,122900,"VAN","POR","AWAY","2","7:05",0,3,25,27,32
"1079",1079,1079,"abdursh01","Shareef Abdur-Rahim",2001,"373",251,10901,"VAN","DEN","HOME","1","0:00",0,3,32,28,27
"1341",1341,1341,"abdursh01","Shareef Abdur-Rahim",2001,"299",213,21301,"VAN","BOS","HOME","2","8:05",0,3,25,30,30
"1439",1439,1439,"abdursh01","Shareef Abdur-Rahim",2001,"322",279,22301,"VAN","MIL","AWAY","4","2:45",0,3,27,81,91
"1507",1507,1507,"abdursh01","Shareef Abdur-Rahim",2001,"293",234,30501,"VAN","SAS","HOME","1","7:43",0,3,24,8,9
"1772",1772,1772,"abdursh01","Shareef Abdur-Rahim",2001,"301",239,40701,"VAN","DEN","AWAY","4","1:08",1,3,25,95,97
"1795",1795,1795,"abdursh01","Shareef Abdur-Rahim",2001,"299",230,41201,"VAN","POR","HOME","2","00:32.9",0,3,25,39,40
"1893",1893,1893,"abdursh01","Shareef Abdur-Rahim",2002,"291",175,103001,"ATL","HOU","AWAY","1OT","00:17.9",0,3,25,80,85
"1898",1898,1898,"abdursh01","Shareef Abdur-Rahim",2002,"343",256,110101,"ATL","WAS","HOME","2","00:00.2",0,3,29,53,49
"1911",1911,1911,"abdursh01","Shareef Abdur-Rahim",2002,"293",192,110101,"ATL","WAS","HOME","4","00:25.8",0,3,25,86,93
"2148",2148,2148,"abdursh01","Shareef Abdur-Rahim",2002,"309",236,120101,"ATL","TOR","HOME","4","2:29",1,3,26,97,98
"2154",2154,2154,"abdursh01","Shareef Abdur-Rahim",2002,"442",243,120501,"ATL","SAS","HOME","1","00:00.1",0,3,39,20,32
"2157",2157,2157,"abdursh01","Shareef Abdur-Rahim",2002,"301",230,120501,"ATL","SAS","HOME","3","11:35",0,3,25,46,70
"2181",2181,2181,"abdursh01","Shareef Abdur-Rahim",2002,"295",207,121101,"ATL","PHI","HOME","4","5:32",1,3,25,79,79
"2235",2235,2235,"abdursh01","Shareef Abdur-Rahim",2002,"295",317,121901,"ATL","WAS","AWAY","3","10:54",0,3,26,33,51
"2284",2284,2284,"abdursh01","Shareef Abdur-Rahim",2002,"320",262,122601,"ATL","MIL","AWAY","3","6:40",0,3,27,65,64
"2367",2367,2367,"abdursh01","Shareef Abdur-Rahim",2002,"322",247,10802,"ATL","POR","HOME","1","00:02.2",1,3,27,28,24
"2659",2659,2659,"abdursh01","Shareef Abdur-Rahim",2002,"314",236,21502,"ATL","LAL","AWAY","4","1:25",0,3,26,89,86
"2785",2785,2785,"abdursh01","Shareef Abdur-Rahim",2002,"299",310,30402,"ATL","MEM","HOME","3","1:33",0,3,26,68,51
"2846",2846,2846,"abdursh01","Shareef Abdur-Rahim",2002,"303",236,31302,"ATL","DEN","HOME","2","9:48",1,3,25,37,28
"2856",2856,2856,"abdursh01","Shareef Abdur-Rahim",2002,"307",198,31502,"ATL","PHO","HOME","1","8:07",1,3,26,5,8
"2862",2862,2862,"abdursh01","Shareef Abdur-Rahim",2002,"293",184,31502,"ATL","PHO","HOME","2","00:34.9",1,3,25,54,40
"2925",2925,2925,"abdursh01","Shareef Abdur-Rahim",2002,"291",243,32402,"ATL","NJN","AWAY","2","9:32",0,3,24,31,32
"2951",2951,2951,"abdursh01","Shareef Abdur-Rahim",2002,"314",236,32802,"ATL","TOR","HOME","1","9:27",0,3,26,4,4
"2971",2971,2971,"abdursh01","Shareef Abdur-Rahim",2002,"307",213,32802,"ATL","TOR","HOME","4","2:00",0,3,26,79,80
"2978",2978,2978,"abdursh01","Shareef Abdur-Rahim",2002,"291",251,32902,"ATL","MIA","AWAY","2","10:21",0,3,24,15,21
"3048",3048,3048,"abdursh01","Shareef Abdur-Rahim",2002,"284",180,40602,"ATL","CHH","HOME","4","1:23",0,3,24,82,89
"3078",3078,3078,"abdursh01","Shareef Abdur-Rahim",2002,"303",177,41002,"ATL","CHH","AWAY","3","8:13",0,3,26,54,50
"3116",3116,3116,"abdursh01","Shareef Abdur-Rahim",2002,"299",243,41302,"ATL","CLE","HOME","4","9:15",1,3,25,83,89
"3176",3176,3176,"abdursh01","Shareef Abdur-Rahim",2003,"310",238,103102,"ATL","UTA","HOME","4","7:16",0,3,26,84,72
"3181",3181,3181,"abdursh01","Shareef Abdur-Rahim",2003,"303",186,110202,"ATL","CHI","HOME","2","7:30",1,3,26,39,28
"3213",3213,3213,"abdursh01","Shareef Abdur-Rahim",2003,"290",173,110602,"ATL","PHO","AWAY","4","5:02",0,3,25,81,84
"3258",3258,3258,"abdursh01","Shareef Abdur-Rahim",2003,"313",191,111202,"ATL","LAL","AWAY","4","7:12",0,3,27,75,72
"3305",3305,3305,"abdursh01","Shareef Abdur-Rahim",2003,"295",227,112002,"ATL","MIN","HOME","3","1:39",1,3,25,63,78
"3308",3308,3308,"abdursh01","Shareef Abdur-Rahim",2003,"302",258,112202,"ATL","BOS","AWAY","1","2:18",0,3,25,17,17
"3325",3325,3325,"abdursh01","Shareef Abdur-Rahim",2003,"316",287,112202,"ATL","BOS","AWAY","2OT","1:52",0,3,27,96,102
"3341",3341,3341,"abdursh01","Shareef Abdur-Rahim",2003,"302",174,112602,"ATL","SEA","HOME","2","00:17.9",0,3,26,53,52
"3371",3371,3371,"abdursh01","Shareef Abdur-Rahim",2003,"297",241,112902,"ATL","MIA","HOME","1","5:41",0,3,25,9,9
"3389",3389,3389,"abdursh01","Shareef Abdur-Rahim",2003,"300",234,113002,"ATL","ORL","AWAY","2","8:40",1,3,25,38,42
"3410",3410,3410,"abdursh01","Shareef Abdur-Rahim",2003,"292",229,120502,"ATL","MIL","HOME","2","2:06",0,3,24,53,48
"3644",3644,3644,"abdursh01","Shareef Abdur-Rahim",2003,"307",184,11103,"ATL","NOH","HOME","3","7:38",1,3,26,54,48
"3689",3689,3689,"abdursh01","Shareef Abdur-Rahim",2003,"293",214,11703,"ATL","SAS","AWAY","2","00:02.3",1,3,24,42,49
"3728",3728,3728,"abdursh01","Shareef Abdur-Rahim",2003,"290",309,12003,"ATL","CHI","HOME","4","2:22",1,3,25,102,107
"3737",3737,3737,"abdursh01","Shareef Abdur-Rahim",2003,"292",181,12203,"ATL","POR","HOME","2","00:22.5",0,3,25,49,60
"3760",3760,3760,"abdursh01","Shareef Abdur-Rahim",2003,"307",222,12403,"ATL","SAC","HOME","2","0:04",0,3,26,49,57
"3812",3812,3812,"abdursh01","Shareef Abdur-Rahim",2003,"308",209,12903,"ATL","PHI","AWAY","2","00:54.2",1,3,26,54,33
"3856",3856,3856,"abdursh01","Shareef Abdur-Rahim",2003,"287",294,20303,"ATL","MIA","AWAY","4","2:15",0,3,24,77,93
"3905",3905,3905,"abdursh01","Shareef Abdur-Rahim",2003,"300",178,21403,"ATL","IND","AWAY","3","8:37",0,3,26,46,64
"3962",3962,3962,"abdursh01","Shareef Abdur-Rahim",2003,"313",237,22303,"ATL","GSW","AWAY","4","7:34",0,3,26,84,102
"4016",4016,4016,"abdursh01","Shareef Abdur-Rahim",2003,"295",225,30403,"ATL","DEN","HOME","1","11:31",0,3,25,0,0
"4077",4077,4077,"abdursh01","Shareef Abdur-Rahim",2003,"298",234,31003,"ATL","LAC","HOME","2","00:00.5",0,3,25,45,39
"4241",4241,4241,"abdursh01","Shareef Abdur-Rahim",2003,"300",281,40303,"ATL","WAS","HOME","2","7:04",0,3,25,41,32
"4270",4270,4270,"abdursh01","Shareef Abdur-Rahim",2003,"310",171,40503,"ATL","MEM","HOME","4","00:47.1",0,3,27,97,87
"4375",4375,4375,"abdursh01","Shareef Abdur-Rahim",2004,"313",176,110103,"ATL","IND","HOME","1","9:20",0,3,27,6,0
"4448",4448,4448,"abdursh01","Shareef Abdur-Rahim",2004,"303",201,111103,"ATL","LAC","AWAY","3","2:45",1,3,26,71,78
"4452",4452,4452,"abdursh01","Shareef Abdur-Rahim",2004,"308",246,111203,"ATL","PHO","AWAY","1","1:13",0,3,26,28,23
"4487",4487,4487,"abdursh01","Shareef Abdur-Rahim",2004,"307",212,111703,"ATL","WAS","HOME","4","00:28.4",1,3,26,95,102
"4547",4547,4547,"abdursh01","Shareef Abdur-Rahim",2004,"305",212,112403,"ATL","DET","HOME","4","8:51",0,3,26,73,73
"4590",4590,4590,"abdursh01","Shareef Abdur-Rahim",2004,"321",263,112903,"ATL","PHI","AWAY","3","7:56",0,3,27,51,54
"4626",4626,4626,"abdursh01","Shareef Abdur-Rahim",2004,"300",240,120603,"ATL","CLE","AWAY","1","6:40",0,3,25,14,11
"4735",4735,4735,"abdursh01","Shareef Abdur-Rahim",2004,"288",230,121703,"ATL","GSW","HOME","1","3:03",0,3,24,20,15
"4889",4889,4889,"abdursh01","Shareef Abdur-Rahim",2004,"290",248,11004,"ATL","UTA","AWAY","1","6:44",0,3,24,8,9
"5034",5034,5034,"abdursh01","Shareef Abdur-Rahim",2004,"305",191,12904,"ATL","POR","HOME","2","2:09",0,3,26,38,32
"5108",5108,5108,"abdursh01","Shareef Abdur-Rahim",2004,"307",224,20704,"ATL","HOU","HOME","3","00:01.9",0,3,26,62,51
"5178",5178,5178,"abdursh01","Shareef Abdur-Rahim",2004,"297",276,22004,"POR","GSW","AWAY","2","3:53",1,3,25,39,39
"5237",5237,5237,"abdursh01","Shareef Abdur-Rahim",2004,"292",243,30404,"POR","DET","HOME","2","7:12",0,3,24,22,33
"5367",5367,5367,"abdursh01","Shareef Abdur-Rahim",2004,"282",304,40304,"POR","NOH","HOME","4","5:56",0,3,24,72,86
"5459",5459,5459,"abdursh01","Shareef Abdur-Rahim",2005,"297",255,111004,"POR","BOS","AWAY","1","3:15",1,3,25,17,24
"5544",5544,5544,"abdursh01","Shareef Abdur-Rahim",2005,"290",229,113004,"POR","SEA","HOME","1","1:27",1,3,24,17,19
"5735",5735,5735,"abdursh01","Shareef Abdur-Rahim",2005,"303",269,30705,"POR","DEN","AWAY","2","1:20",0,3,25,50,52
"5807",5807,5807,"abdursh01","Shareef Abdur-Rahim",2005,"292",214,31705,"POR","DAL","AWAY","3","10:38",0,3,24,46,46
"5905",5905,5905,"abdursh01","Shareef Abdur-Rahim",2005,"285",196,33005,"POR","HOU","HOME","2","2:54",1,3,24,45,51
"5922",5922,5922,"abdursh01","Shareef Abdur-Rahim",2005,"308",240,40105,"POR","SEA","AWAY","4","1:06",0,3,26,85,88
"5990",5990,5990,"abdursh01","Shareef Abdur-Rahim",2005,"295",245,41005,"POR","NOH","AWAY","1","7:15",0,3,25,12,8
"5991",5991,5991,"abdursh01","Shareef Abdur-Rahim",2005,"323",271,41005,"POR","NOH","AWAY","1","3:02",0,3,27,18,20
"6029",6029,6029,"abdursh01","Shareef Abdur-Rahim",2005,"336",258,41505,"POR","GSW","AWAY","2","7:06",0,3,29,41,44
"6031",6031,6031,"abdursh01","Shareef Abdur-Rahim",2005,"300",320,41505,"POR","GSW","AWAY","2","1:57",0,3,26,51,58
"6038",6038,6038,"abdursh01","Shareef Abdur-Rahim",2005,"297",299,41505,"POR","GSW","AWAY","4","3:33",0,3,25,86,98
"6054",6054,6054,"abdursh01","Shareef Abdur-Rahim",2005,"282",166,41905,"POR","DEN","AWAY","2","10:09",0,3,24,32,28
"6153",6153,6153,"abdursh01","Shareef Abdur-Rahim",2006,"290",166,111305,"SAC","NYK","HOME","4","7:22",0,3,25,77,88
"6224",6224,6224,"abdursh01","Shareef Abdur-Rahim",2006,"302",244,113005,"SAC","GSW","AWAY","3","11:22",0,3,25,50,57
"6306",6306,6306,"abdursh01","Shareef Abdur-Rahim",2006,"303",243,121305,"SAC","MIN","AWAY","4","1:27",1,3,25,86,87
"6384",6384,6384,"abdursh01","Shareef Abdur-Rahim",2006,"293",274,122605,"SAC","POR","HOME","4","3:03",0,3,25,82,95
"6442",6442,6442,"abdursh01","Shareef Abdur-Rahim",2006,"292",189,20306,"SAC","UTA","AWAY","4","1:30",0,3,25,75,82
"6456",6456,6456,"abdursh01","Shareef Abdur-Rahim",2006,"418",255,21006,"SAC","PHO","AWAY","1","00:00.1",0,3,37,21,33
"6540",6540,6540,"abdursh01","Shareef Abdur-Rahim",2006,"292",235,31006,"SAC","MEM","HOME","2","4:33",0,3,24,40,36
