"","X.1","X","ID","Player","Season","Top.px...Location.","Left.px...location.","Date","Team","Opponent","Location","Quarter","Game_Clock","Outcome..1.if.made..0.otherwise.","Shot_Value","Shot_Distance.ft.","Team_Score","Opponent_Score"
"609",609,609,"abdursh01","Shareef Abdur-Rahim",2001,"50",0,110200,"VAN","LAC","AWAY","1","2:21",0,3,24,26,17
"639",639,639,"abdursh01","Shareef Abdur-Rahim",2001,"69",9,110600,"VAN","ATL","HOME","1","4:20",0,3,23,8,16
"755",755,755,"abdursh01","Shareef Abdur-Rahim",2001,"29",0,112600,"VAN","BOS","AWAY","2","6:00",0,3,24,37,34
"864",864,864,"abdursh01","Shareef Abdur-Rahim",2001,"221",53,120700,"VAN","UTA","AWAY","4","3:41",0,3,25,75,90
"893",893,893,"abdursh01","Shareef Abdur-Rahim",2001,"293",154,121100,"VAN","HOU","HOME","4","1:18",0,3,26,68,74
"894",894,894,"abdursh01","Shareef Abdur-Rahim",2001,"263",116,121100,"VAN","HOU","HOME","4","00:41.8",1,3,25,71,76
"968",968,968,"abdursh01","Shareef Abdur-Rahim",2001,"54",-2,122300,"VAN","LAC","AWAY","2","1:49",0,3,24,36,44
"980",980,980,"abdursh01","Shareef Abdur-Rahim",2001,"162",11,122300,"VAN","LAC","AWAY","4","00:00.1",0,3,25,90,92
"1093",1093,1093,"abdursh01","Shareef Abdur-Rahim",2001,"295",154,10901,"VAN","DEN","HOME","4","00:14.9",0,3,26,105,110
"1202",1202,1202,"abdursh01","Shareef Abdur-Rahim",2001,"278",116,12301,"VAN","SAS","AWAY","3","11:17",0,3,26,38,60
"1211",1211,1211,"abdursh01","Shareef Abdur-Rahim",2001,"267",125,12501,"VAN","DAL","AWAY","1","2:39",0,3,25,21,23
"1290",1290,1290,"abdursh01","Shareef Abdur-Rahim",2001,"276",118,20301,"VAN","CHI","HOME","3","10:31",1,3,26,48,39
"1313",1313,1313,"abdursh01","Shareef Abdur-Rahim",2001,"59",2,20501,"VAN","SEA","AWAY","3","5:22",0,3,24,57,57
"1326",1326,1326,"abdursh01","Shareef Abdur-Rahim",2001,"50",5,20701,"VAN","UTA","HOME","3","10:15",0,3,24,47,46
"1342",1342,1342,"abdursh01","Shareef Abdur-Rahim",2001,"50",7,21301,"VAN","BOS","HOME","2","3:05",1,3,23,40,43
"1482",1482,1482,"abdursh01","Shareef Abdur-Rahim",2001,"39",11,22801,"VAN","UTA","AWAY","2","5:09",0,3,23,41,41
"1489",1489,1489,"abdursh01","Shareef Abdur-Rahim",2001,"29",17,22801,"VAN","UTA","AWAY","3","00:18.9",0,3,22,66,78
"1524",1524,1524,"abdursh01","Shareef Abdur-Rahim",2001,"37",15,30601,"VAN","POR","AWAY","1","4:19",0,3,23,21,18
"1542",1542,1542,"abdursh01","Shareef Abdur-Rahim",2001,"248",80,30901,"VAN","POR","HOME","3","5:46",0,3,25,59,57
"1587",1587,1587,"abdursh01","Shareef Abdur-Rahim",2001,"76",-2,31401,"VAN","CHH","AWAY","3","00:06.1",0,3,24,68,72
"1595",1595,1595,"abdursh01","Shareef Abdur-Rahim",2001,"291",135,31401,"VAN","CHH","AWAY","4","00:22.3",1,3,26,93,100
"1638",1638,1638,"abdursh01","Shareef Abdur-Rahim",2001,"269",106,32001,"VAN","NJN","AWAY","4","1:41",0,3,26,82,95
"1689",1689,1689,"abdursh01","Shareef Abdur-Rahim",2001,"48",0,32901,"VAN","NYK","HOME","1","7:54",0,3,24,4,4
"1788",1788,1788,"abdursh01","Shareef Abdur-Rahim",2001,"54",5,41201,"VAN","POR","HOME","1","11:15",0,3,24,0,0
"1843",1843,1843,"abdursh01","Shareef Abdur-Rahim",2001,"57",7,41601,"VAN","SAC","AWAY","3","1:13",1,3,23,77,82
"1881",1881,1881,"abdursh01","Shareef Abdur-Rahim",2002,"59",17,103001,"ATL","HOU","AWAY","3","7:24",0,3,22,48,53
"2095",2095,2095,"abdursh01","Shareef Abdur-Rahim",2002,"286",139,112601,"ATL","NYK","AWAY","1","00:09.2",0,3,26,27,22
"2104",2104,2104,"abdursh01","Shareef Abdur-Rahim",2002,"65",-4,112601,"ATL","NYK","AWAY","4","7:54",0,3,24,73,74
"2106",2106,2106,"abdursh01","Shareef Abdur-Rahim",2002,"215",55,112601,"ATL","NYK","AWAY","4","0:46",1,3,25,83,83
"2278",2278,2278,"abdursh01","Shareef Abdur-Rahim",2002,"208",40,122601,"ATL","MIL","AWAY","2","4:01",1,3,25,47,39
"2290",2290,2290,"abdursh01","Shareef Abdur-Rahim",2002,"42",5,122601,"ATL","MIL","AWAY","4","2:34",0,3,24,93,101
"2334",2334,2334,"abdursh01","Shareef Abdur-Rahim",2002,"291",135,10402,"ATL","MEM","AWAY","3","5:50",0,3,26,70,72
"2337",2337,2337,"abdursh01","Shareef Abdur-Rahim",2002,"185",11,10402,"ATL","MEM","AWAY","4","6:18",0,3,27,93,93
"2460",2460,2460,"abdursh01","Shareef Abdur-Rahim",2002,"46",2,11702,"ATL","CHI","HOME","2","00:01.1",0,3,24,47,44
"2536",2536,2536,"abdursh01","Shareef Abdur-Rahim",2002,"238",30,13002,"ATL","DET","AWAY","3","0:01",0,3,28,52,60
"2654",2654,2654,"abdursh01","Shareef Abdur-Rahim",2002,"244",64,21502,"ATL","LAL","AWAY","3","2:53",0,3,26,65,50
"2662",2662,2662,"abdursh01","Shareef Abdur-Rahim",2002,"286",144,21702,"ATL","GSW","AWAY","1","9:36",0,3,25,6,4
