"","X.1","X","ID","Player","Season","Top.px...Location.","Left.px...location.","Date","Team","Opponent","Location","Quarter","Game_Clock","Outcome..1.if.made..0.otherwise.","Shot_Value","Shot_Distance.ft.","Team_Score","Opponent_Score"
"2666",2666,2666,"abdursh01","Shareef Abdur-Rahim",2002,"118",11,21702,"ATL","GSW","AWAY","1","00:14.6",1,3,24,24,20
"2717",2717,2717,"abdursh01","Shareef Abdur-Rahim",2002,"35",7,22202,"ATL","SEA","AWAY","3","00:01.1",1,3,23,80,76
"2722",2722,2722,"abdursh01","Shareef Abdur-Rahim",2002,"52",13,22202,"ATL","SEA","AWAY","4","00:09.3",0,3,23,96,99
"2818",2818,2818,"abdursh01","Shareef Abdur-Rahim",2002,"50",2,30902,"ATL","PHI","HOME","3","4:52",1,3,24,61,70
"2827",2827,2827,"abdursh01","Shareef Abdur-Rahim",2002,"61",11,31102,"ATL","GSW","HOME","1","6:34",0,3,23,10,12
"2880",2880,2880,"abdursh01","Shareef Abdur-Rahim",2002,"272",91,31702,"ATL","IND","AWAY","2","00:01.8",0,3,27,28,44
"2908",2908,2908,"abdursh01","Shareef Abdur-Rahim",2002,"200",49,32102,"ATL","NYK","HOME","1","0:03",0,3,24,32,23
"2912",2912,2912,"abdursh01","Shareef Abdur-Rahim",2002,"288",144,32102,"ATL","NYK","HOME","3","5:16",1,3,26,82,58
"2938",2938,2938,"abdursh01","Shareef Abdur-Rahim",2002,"42",2,32602,"ATL","NJN","HOME","1","1:29",1,3,24,19,16
"2957",2957,2957,"abdursh01","Shareef Abdur-Rahim",2002,"31",17,32802,"ATL","TOR","HOME","2","9:11",1,3,22,26,28
"3002",3002,3002,"abdursh01","Shareef Abdur-Rahim",2002,"46",7,33102,"ATL","SAC","HOME","4","7:47",1,3,23,80,77
"3003",3003,3003,"abdursh01","Shareef Abdur-Rahim",2002,"194",28,33102,"ATL","SAC","HOME","4","2:00",0,3,26,88,90
"3030",3030,3030,"abdursh01","Shareef Abdur-Rahim",2002,"44",2,40402,"ATL","IND","HOME","3","1:20",0,3,24,69,61
"3043",3043,3043,"abdursh01","Shareef Abdur-Rahim",2002,"175",26,40602,"ATL","CHH","HOME","3","3:45",0,3,25,62,64
"3047",3047,3047,"abdursh01","Shareef Abdur-Rahim",2002,"50",11,40602,"ATL","CHH","HOME","4","3:12",0,3,23,78,85
"3113",3113,3113,"abdursh01","Shareef Abdur-Rahim",2002,"244",78,41302,"ATL","CLE","HOME","3","5:55",1,3,25,62,66
"3123",3123,3123,"abdursh01","Shareef Abdur-Rahim",2002,"78",-4,41302,"ATL","CLE","HOME","2OT","00:46.6",0,3,25,124,121
"3128",3128,3128,"abdursh01","Shareef Abdur-Rahim",2002,"284",129,41602,"ATL","ORL","HOME","1","3:56",0,3,26,13,16
"3143",3143,3143,"abdursh01","Shareef Abdur-Rahim",2002,"35",2,41602,"ATL","ORL","HOME","4","1:31",0,3,24,88,94
"3173",3173,3173,"abdursh01","Shareef Abdur-Rahim",2003,"307",155,103102,"ATL","UTA","HOME","4","11:07",0,3,27,77,65
"3241",3241,3241,"abdursh01","Shareef Abdur-Rahim",2003,"264",112,111002,"ATL","SAC","AWAY","3","3:31",1,3,25,67,67
"3265",3265,3265,"abdursh01","Shareef Abdur-Rahim",2003,"288",151,111602,"ATL","NOH","HOME","1","2:54",1,3,25,22,22
"3272",3272,3272,"abdursh01","Shareef Abdur-Rahim",2003,"233",54,111602,"ATL","NOH","HOME","3","6:28",0,3,26,53,49
"3482",3482,3482,"abdursh01","Shareef Abdur-Rahim",2003,"270",115,121702,"ATL","WAS","HOME","4","1:40",0,3,25,97,106
"3554",3554,3554,"abdursh01","Shareef Abdur-Rahim",2003,"39",13,122702,"ATL","SAS","HOME","4","1:03",0,3,23,79,75
"3579",3579,3579,"abdursh01","Shareef Abdur-Rahim",2003,"254",92,123002,"ATL","MIA","AWAY","4","3:12",0,3,25,76,89
"3604",3604,3604,"abdursh01","Shareef Abdur-Rahim",2003,"275",112,10403,"ATL","DET","HOME","4","7:17",0,3,26,66,73
"3819",3819,3819,"abdursh01","Shareef Abdur-Rahim",2003,"283",132,13103,"ATL","CLE","HOME","1","9:57",0,3,26,9,3
"3894",3894,3894,"abdursh01","Shareef Abdur-Rahim",2003,"256",82,21203,"ATL","TOR","AWAY","4","1:13",0,3,26,84,89
"4075",4075,4075,"abdursh01","Shareef Abdur-Rahim",2003,"265",105,31003,"ATL","LAC","HOME","1","0:00",1,3,25,23,18
"4098",4098,4098,"abdursh01","Shareef Abdur-Rahim",2003,"279",127,31203,"ATL","MIL","HOME","2","2:33",1,3,26,50,44
"4103",4103,4103,"abdursh01","Shareef Abdur-Rahim",2003,"36",10,31203,"ATL","MIL","HOME","4","10:41",1,3,23,88,72
"4122",4122,4122,"abdursh01","Shareef Abdur-Rahim",2003,"160",13,31403,"ATL","NYK","HOME","3","00:01.6",1,3,25,81,76
"4250",4250,4250,"abdursh01","Shareef Abdur-Rahim",2003,"180",22,40303,"ATL","WAS","HOME","4","4:26",0,3,25,83,77
"4286",4286,4286,"abdursh01","Shareef Abdur-Rahim",2003,"190",36,40803,"ATL","NYK","AWAY","4","1:03",0,3,25,88,96
"4299",4299,4299,"abdursh01","Shareef Abdur-Rahim",2003,"216",43,40903,"ATL","NJN","HOME","4","00:18.1",1,3,26,96,90
"4387",4387,4387,"abdursh01","Shareef Abdur-Rahim",2004,"275",104,110103,"ATL","IND","HOME","1OT","1:30",1,3,26,97,97
"4417",4417,4417,"abdursh01","Shareef Abdur-Rahim",2004,"190",30,110803,"ATL","POR","AWAY","3","00:15.9",0,3,25,62,66
"4450",4450,4450,"abdursh01","Shareef Abdur-Rahim",2004,"191",26,111103,"ATL","LAC","AWAY","4","3:31",0,3,26,93,101
"4615",4615,4615,"abdursh01","Shareef Abdur-Rahim",2004,"101",5,120503,"ATL","TOR","AWAY","1","5:26",0,3,24,6,17
"4796",4796,4796,"abdursh01","Shareef Abdur-Rahim",2004,"72",10,122603,"ATL","NOH","AWAY","2","00:47.2",0,3,23,37,51
"4998",4998,4998,"abdursh01","Shareef Abdur-Rahim",2004,"262",97,12304,"ATL","NYK","HOME","4","00:00.8",1,3,26,94,96
"5147",5147,5147,"abdursh01","Shareef Abdur-Rahim",2004,"260",51,21204,"POR","DEN","HOME","3","00:00.6",0,3,28,66,79
"5317",5317,5317,"abdursh01","Shareef Abdur-Rahim",2004,"80",10,32204,"POR","HOU","HOME","4","9:31",1,3,23,67,68
"5327",5327,5327,"abdursh01","Shareef Abdur-Rahim",2004,"201",45,32404,"POR","LAC","HOME","3","00:47.9",0,3,25,62,62
"5344",5344,5344,"abdursh01","Shareef Abdur-Rahim",2004,"256",92,33104,"POR","BOS","AWAY","2","9:14",0,3,25,29,33
"5443",5443,5443,"abdursh01","Shareef Abdur-Rahim",2005,"203",45,110904,"POR","NJN","AWAY","1","7:55",0,3,25,5,6
"5470",5470,5470,"abdursh01","Shareef Abdur-Rahim",2005,"53",-5,111304,"POR","TOR","HOME","2","4:23",1,3,25,42,39
"5484",5484,5484,"abdursh01","Shareef Abdur-Rahim",2005,"39",12,111904,"POR","MIL","HOME","1","5:04",1,3,23,16,14
"5518",5518,5518,"abdursh01","Shareef Abdur-Rahim",2005,"50",15,112604,"POR","DAL","AWAY","1","11:02",0,3,23,3,0
"5529",5529,5529,"abdursh01","Shareef Abdur-Rahim",2005,"223",56,112604,"POR","DAL","AWAY","4","00:14.9",0,3,25,83,90
"5557",5557,5557,"abdursh01","Shareef Abdur-Rahim",2005,"287",143,120404,"POR","SEA","AWAY","1","7:02",0,3,26,12,4
"5585",5585,5585,"abdursh01","Shareef Abdur-Rahim",2005,"55",10,120904,"POR","BOS","HOME","3","10:43",0,3,23,50,52
"5590",5590,5590,"abdursh01","Shareef Abdur-Rahim",2005,"237",77,120904,"POR","BOS","HOME","4","00:00.2",1,3,25,89,87
"5604",5604,5604,"abdursh01","Shareef Abdur-Rahim",2005,"45",12,121204,"POR","UTA","HOME","2","2:40",1,3,23,46,36
"5605",5605,5605,"abdursh01","Shareef Abdur-Rahim",2005,"247",92,121204,"POR","UTA","HOME","2","00:27.9",0,3,25,50,42
"5608",5608,5608,"abdursh01","Shareef Abdur-Rahim",2005,"42",10,121204,"POR","UTA","HOME","4","2:08",0,3,23,93,80
"5662",5662,5662,"abdursh01","Shareef Abdur-Rahim",2005,"198",41,22305,"POR","LAL","HOME","2","4:25",0,3,25,28,41
"5770",5770,5770,"abdursh01","Shareef Abdur-Rahim",2005,"265",127,31205,"POR","MEM","HOME","4","3:35",1,3,24,77,60
"5778",5778,5778,"abdursh01","Shareef Abdur-Rahim",2005,"262",114,31405,"POR","MEM","AWAY","2","1:01",0,3,25,38,48
"5980",5980,5980,"abdursh01","Shareef Abdur-Rahim",2005,"198",41,40805,"POR","SAC","HOME","2","00:00.2",0,3,25,63,54
"5985",5985,5985,"abdursh01","Shareef Abdur-Rahim",2005,"52",12,40805,"POR","SAC","HOME","3","2:21",1,3,23,79,78
"6010",6010,6010,"abdursh01","Shareef Abdur-Rahim",2005,"39",5,41205,"POR","SAS","AWAY","3","8:34",1,3,24,40,56
"6049",6049,6049,"abdursh01","Shareef Abdur-Rahim",2005,"121",12,41705,"POR","UTA","HOME","4","4:15",1,3,24,92,69
"6184",6184,6184,"abdursh01","Shareef Abdur-Rahim",2006,"272",138,112105,"SAC","SAS","HOME","3","9:37",1,3,24,42,53
"6215",6215,6215,"abdursh01","Shareef Abdur-Rahim",2006,"267",133,112905,"SAC","CHA","HOME","2","2:35",1,3,24,53,39
"6265",6265,6265,"abdursh01","Shareef Abdur-Rahim",2006,"191",45,120605,"SAC","CLE","HOME","4","00:54.7",1,3,24,90,97
"6313",6313,6313,"abdursh01","Shareef Abdur-Rahim",2006,"259",59,121405,"SAC","DET","AWAY","2","0:01",0,3,28,48,56
"6411",6411,6411,"abdursh01","Shareef Abdur-Rahim",2006,"37",5,12406,"SAC","PHI","AWAY","4","11:37",0,3,24,74,81
"6460",6460,6460,"abdursh01","Shareef Abdur-Rahim",2006,"274",95,21006,"SAC","PHO","AWAY","4","00:19.9",0,3,27,102,108
"6590",6590,6590,"abdursh01","Shareef Abdur-Rahim",2006,"205",48,32606,"SAC","GSW","HOME","4","6:00",0,3,25,67,74
"6685",6685,6685,"abdursh01","Shareef Abdur-Rahim",2006,"67",10,41806,"SAC","SEA","HOME","1","2:58",0,3,23,24,15
"6724",6724,6724,"abdursh01","Shareef Abdur-Rahim",2006,"49",12,42506,"SAC","SAS","AWAY","1OT","00:32.9",0,3,23,117,124
"6897",6897,6897,"abdursh01","Shareef Abdur-Rahim",2007,"52",12,120406,"SAC","ORL","HOME","1","11:30",0,3,23,0,0
"6935",6935,6935,"abdursh01","Shareef Abdur-Rahim",2007,"65",2,121506,"SAC","UTA","AWAY","4","00:59.4",1,3,24,98,97
"6943",6943,6943,"abdursh01","Shareef Abdur-Rahim",2007,"206",48,121606,"SAC","PHO","HOME","4","00:17.9",0,3,25,98,105
"6975",6975,6975,"abdursh01","Shareef Abdur-Rahim",2007,"277",125,122906,"SAC","LAC","AWAY","4","5:43",0,3,25,82,93
"6992",6992,6992,"abdursh01","Shareef Abdur-Rahim",2007,"53",15,10207,"SAC","NYK","HOME","4","1:52",0,3,23,110,96
"7044",7044,7044,"abdursh01","Shareef Abdur-Rahim",2007,"233",66,11707,"SAC","TOR","AWAY","1","6:28",0,3,25,10,12
"7241",7241,7241,"abdursh01","Shareef Abdur-Rahim",2007,"52",10,31607,"SAC","MIA","AWAY","2","3:13",1,3,23,37,53
"7285",7285,7285,"abdursh01","Shareef Abdur-Rahim",2007,"55",5,32507,"SAC","PHO","HOME","1","6:52",0,3,24,10,9
"104430",104430,104430,"antetgi01","Giannis Antetokounmpo",2014,"157",19,111213,"MIL","MIA","AWAY","1","4:06",0,3,25,14,25
"104432",104432,104432,"antetgi01","Giannis Antetokounmpo",2014,"196",42,111213,"MIL","MIA","AWAY","1","0:38",1,3,25,21,30
"104435",104435,104435,"antetgi01","Giannis Antetokounmpo",2014,"217",63,111213,"MIL","MIA","AWAY","4","4:46",0,3,24,80,106
"104436",104436,104436,"antetgi01","Giannis Antetokounmpo",2014,"237",82,111213,"MIL","MIA","AWAY","4","4:08",1,3,24,83,108
"104437",104437,104437,"antetgi01","Giannis Antetokounmpo",2014,"204",50,111213,"MIL","MIA","AWAY","4","2:59",1,3,24,89,111
"104439",104439,104439,"antetgi01","Giannis Antetokounmpo",2014,"280",117,111313,"MIL","ORL","AWAY","4","9:58",0,3,26,74,74
"104442",104442,104442,"antetgi01","Giannis Antetokounmpo",2014,"117",-6,111613,"MIL","OKC","HOME","1","2:27",0,3,26,20,22
"104459",104459,104459,"antetgi01","Giannis Antetokounmpo",2014,"307",96,112913,"MIL","CHA","AWAY","4","2:40",0,3,29,72,91
"104466",104466,104466,"antetgi01","Giannis Antetokounmpo",2014,"147",-10,113013,"MIL","BOS","HOME","4","7:40",0,3,27,78,63
"104482",104482,104482,"antetgi01","Giannis Antetokounmpo",2014,"91",0,120713,"MIL","BRK","HOME","1","3:47",0,3,24,10,14
"104483",104483,104483,"antetgi01","Giannis Antetokounmpo",2014,"136",0,120713,"MIL","BRK","HOME","1","2:52",0,3,25,12,14
"104510",104510,104510,"antetgi01","Giannis Antetokounmpo",2014,"269",91,122013,"MIL","CLE","AWAY","3","11:03",0,3,26,47,50
"104521",104521,104521,"antetgi01","Giannis Antetokounmpo",2014,"245",79,122313,"MIL","CHA","AWAY","1","9:32",0,3,25,5,4
"104532",104532,104532,"antetgi01","Giannis Antetokounmpo",2014,"190",39,122713,"MIL","BRK","AWAY","2","4:20",0,3,25,27,44
"104534",104534,104534,"antetgi01","Giannis Antetokounmpo",2014,"195",33,122713,"MIL","BRK","AWAY","3","6:09",0,3,25,45,60
"104554",104554,104554,"antetgi01","Giannis Antetokounmpo",2014,"165",31,10214,"MIL","UTA","AWAY","1","5:03",0,3,24,12,10
"104567",104567,104567,"antetgi01","Giannis Antetokounmpo",2014,"220",27,11014,"MIL","CHI","HOME","2","4:48",0,3,27,34,35
"104573",104573,104573,"antetgi01","Giannis Antetokounmpo",2014,"83",6,11114,"MIL","OKC","AWAY","1","5:17",0,3,24,2,6
"104578",104578,104578,"antetgi01","Giannis Antetokounmpo",2014,"255",93,11114,"MIL","OKC","AWAY","2","3:17",0,3,25,25,36
"104593",104593,104593,"antetgi01","Giannis Antetokounmpo",2014,"253",76,11514,"MIL","MEM","HOME","1","5:17",0,3,26,8,7
"104600",104600,104600,"antetgi01","Giannis Antetokounmpo",2014,"198",42,11814,"MIL","HOU","AWAY","3","9:42",1,3,25,58,65
"104602",104602,104602,"antetgi01","Giannis Antetokounmpo",2014,"166",27,11814,"MIL","HOU","AWAY","3","8:09",0,3,24,60,69
"104603",104603,104603,"antetgi01","Giannis Antetokounmpo",2014,"62",9,11814,"MIL","HOU","AWAY","4","4:16",0,3,23,95,106
"104608",104608,104608,"antetgi01","Giannis Antetokounmpo",2014,"236",68,11914,"MIL","SAS","AWAY","2","4:19",0,3,25,30,45
"104610",104610,104610,"antetgi01","Giannis Antetokounmpo",2014,"210",52,11914,"MIL","SAS","AWAY","3","11:27",1,3,25,41,53
"104611",104611,104611,"antetgi01","Giannis Antetokounmpo",2014,"223",52,11914,"MIL","SAS","AWAY","3","10:22",0,3,26,41,56
"104616",104616,104616,"antetgi01","Giannis Antetokounmpo",2014,"39",5,12214,"MIL","DET","HOME","2","7:31",0,3,24,35,38
"104617",104617,104617,"antetgi01","Giannis Antetokounmpo",2014,"283",117,12214,"MIL","DET","HOME","3","11:02",0,3,26,52,58
"104631",104631,104631,"antetgi01","Giannis Antetokounmpo",2014,"215",19,12714,"MIL","LAC","HOME","2","7:03",0,3,28,34,40
"104647",104647,104647,"antetgi01","Giannis Antetokounmpo",2014,"266",115,13114,"MIL","ORL","AWAY","3","2:29",1,3,25,62,84
"104674",104674,104674,"antetgi01","Giannis Antetokounmpo",2014,"253",68,20814,"MIL","HOU","HOME","4","6:48",0,3,27,77,89
"104689",104689,104689,"antetgi01","Giannis Antetokounmpo",2014,"223",44,22014,"MIL","DEN","HOME","2","9:48",0,3,26,27,33
"104710",104710,104710,"antetgi01","Giannis Antetokounmpo",2014,"248",65,22714,"MIL","IND","AWAY","4","7:51",1,3,26,75,77
"104730",104730,104730,"antetgi01","Giannis Antetokounmpo",2014,"278",112,30514,"MIL","SAC","HOME","4","7:37",0,3,26,83,102
"104731",104731,104731,"antetgi01","Giannis Antetokounmpo",2014,"305",124,30514,"MIL","SAC","HOME","4","6:49",0,3,28,83,104
"104733",104733,104733,"antetgi01","Giannis Antetokounmpo",2014,"292",159,30714,"MIL","NOP","AWAY","2","10:53",0,3,26,25,24
"104739",104739,104739,"antetgi01","Giannis Antetokounmpo",2014,"203",19,30814,"MIL","WAS","HOME","2","7:08",0,3,27,33,54
"104743",104743,104743,"antetgi01","Giannis Antetokounmpo",2014,"288",139,31014,"MIL","ORL","HOME","4","8:17",0,3,26,82,77
"104750",104750,104750,"antetgi01","Giannis Antetokounmpo",2014,"272",123,31314,"MIL","ATL","AWAY","1","5:10",1,3,25,15,15
"104751",104751,104751,"antetgi01","Giannis Antetokounmpo",2014,"240",87,31314,"MIL","ATL","AWAY","1","3:19",0,3,24,20,23
"104752",104752,104752,"antetgi01","Giannis Antetokounmpo",2014,"215",53,31314,"MIL","ATL","AWAY","3","3:32",0,3,25,66,59
"104769",104769,104769,"antetgi01","Giannis Antetokounmpo",2014,"65",12,32014,"MIL","GSW","AWAY","2","11:20",0,3,23,21,29
"104776",104776,104776,"antetgi01","Giannis Antetokounmpo",2014,"81",6,32314,"MIL","SAC","AWAY","2","7:04",0,3,24,29,46
"104787",104787,104787,"antetgi01","Giannis Antetokounmpo",2014,"199",19,32714,"MIL","LAL","HOME","2","7:30",1,3,27,35,39
"104792",104792,104792,"antetgi01","Giannis Antetokounmpo",2014,"111",0,32914,"MIL","MIA","HOME","4","10:28",0,3,25,47,67
"104800",104800,104800,"antetgi01","Giannis Antetokounmpo",2014,"272",98,33114,"MIL","DET","AWAY","4","9:27",1,3,26,90,85
"104821",104821,104821,"antetgi01","Giannis Antetokounmpo",2014,"223",63,40914,"MIL","IND","HOME","2","7:31",0,3,25,35,34
"104825",104825,104825,"antetgi01","Giannis Antetokounmpo",2014,"187",17,41114,"MIL","CLE","HOME","2","3:08",0,3,26,51,63
"104833",104833,104833,"antetgi01","Giannis Antetokounmpo",2014,"182",17,41414,"MIL","TOR","AWAY","4","11:40",1,3,26,72,84
"104834",104834,104834,"antetgi01","Giannis Antetokounmpo",2014,"171",14,41614,"MIL","ATL","HOME","1","1:10",1,3,26,39,25
"104837",104837,104837,"antetgi01","Giannis Antetokounmpo",2014,"261",74,41614,"MIL","ATL","HOME","4","8:01",0,3,27,87,93
"104838",104838,104838,"antetgi01","Giannis Antetokounmpo",2014,"239",57,41614,"MIL","ATL","HOME","4","2:30",1,3,26,96,104
"104844",104844,104844,"antetgi01","Giannis Antetokounmpo",2015,"245",87,102914,"MIL","CHO","AWAY","3","2:51",1,3,25,79,61
"104860",104860,104860,"antetgi01","Giannis Antetokounmpo",2015,"240",74,110414,"MIL","IND","AWAY","3","0:40",1,3,25,67,59
"104888",104888,104888,"antetgi01","Giannis Antetokounmpo",2015,"261",83,110814,"MIL","MEM","HOME","2","5:21",0,3,26,35,36
"104921",104921,104921,"antetgi01","Giannis Antetokounmpo",2015,"288",121,111414,"MIL","ORL","AWAY","4","0:44",0,3,27,85,98
"104964",104964,104964,"antetgi01","Giannis Antetokounmpo",2015,"218",36,112514,"MIL","DET","HOME","1","10:18",0,3,26,2,0
"104974",104974,104974,"antetgi01","Giannis Antetokounmpo",2015,"261",83,112514,"MIL","DET","HOME","4","1:00",0,3,26,96,83
"105134",105134,105134,"antetgi01","Giannis Antetokounmpo",2015,"69",8,10215,"MIL","IND","HOME","1","8:38",0,3,23,0,2
"105144",105144,105144,"antetgi01","Giannis Antetokounmpo",2015,"228",72,10415,"MIL","NYK","AWAY","3","8:10",1,3,24,60,45
"105153",105153,105153,"antetgi01","Giannis Antetokounmpo",2015,"411",151,10615,"MIL","PHO","HOME","1","0:00",0,3,37,21,15
"105159",105159,105159,"antetgi01","Giannis Antetokounmpo",2015,"237",55,10615,"MIL","PHO","HOME","3","0:03",0,3,26,72,71
"105207",105207,105207,"antetgi01","Giannis Antetokounmpo",2015,"47",6,12215,"MIL","UTA","HOME","1","3:21",0,3,23,10,22
"105214",105214,105214,"antetgi01","Giannis Antetokounmpo",2015,"36",12,12215,"MIL","UTA","HOME","4","1:08",0,3,23,99,101
"105309",105309,105309,"antetgi01","Giannis Antetokounmpo",2015,"343",96,21115,"MIL","SAC","HOME","2","0:00",0,3,33,60,51
"105388",105388,105388,"antetgi01","Giannis Antetokounmpo",2015,"210",47,30415,"MIL","GSW","AWAY","3","10:25",0,3,25,55,53
"105425",105425,105425,"antetgi01","Giannis Antetokounmpo",2015,"229",41,31115,"MIL","ORL","HOME","1","4:24",1,3,27,16,13
"105452",105452,105452,"antetgi01","Giannis Antetokounmpo",2015,"297",142,31415,"MIL","MEM","AWAY","2","4:16",0,3,27,30,38
"105599",105599,105599,"antetgi01","Giannis Antetokounmpo",2015,"247",79,41215,"MIL","BRK","HOME","3","1:15",0,3,25,71,54
"105690",105690,105690,"antetgi01","Giannis Antetokounmpo",2016,"194",7,103015,"MIL","WAS","HOME","1","6:43",0,3,27,14,8
"105695",105695,105695,"antetgi01","Giannis Antetokounmpo",2016,"174",7,103015,"MIL","WAS","HOME","2","6:50",1,3,26,48,40
"105710",105710,105710,"antetgi01","Giannis Antetokounmpo",2016,"44",2,110115,"MIL","TOR","AWAY","3","5:39",1,3,23,60,70
"105760",105760,105760,"antetgi01","Giannis Antetokounmpo",2016,"191",17,110715,"MIL","BRK","HOME","2","0:02",0,3,26,44,44
"105761",105761,105761,"antetgi01","Giannis Antetokounmpo",2016,"278",82,110715,"MIL","BRK","HOME","3","6:49",0,3,27,50,51
"105770",105770,105770,"antetgi01","Giannis Antetokounmpo",2016,"49",-11,111015,"MIL","BOS","HOME","3","7:24",1,3,25,50,54
