"","X.1","X","ID","Player","Season","Top.px...Location.","Left.px...location.","Date","Team","Opponent","Location","Quarter","Game_Clock","Outcome..1.if.made..0.otherwise.","Shot_Value","Shot_Distance.ft.","Team_Score","Opponent_Score"
"3188",3188,3188,"abdursh01","Shareef Abdur-Rahim",2003,"41",476,110502,"ATL","DEN","AWAY","1","8:38",1,3,24,8,2
"3240",3240,3240,"abdursh01","Shareef Abdur-Rahim",2003,"85",478,111002,"ATL","SAC","AWAY","3","5:48",1,3,24,56,64
"3333",3333,3333,"abdursh01","Shareef Abdur-Rahim",2003,"200",445,112302,"ATL","BOS","HOME","4","1:47",0,3,25,94,103
"3390",3390,3390,"abdursh01","Shareef Abdur-Rahim",2003,"45",467,113002,"ATL","ORL","AWAY","2","5:33",0,3,23,45,50
"3446",3446,3446,"abdursh01","Shareef Abdur-Rahim",2003,"96",473,121102,"ATL","DET","AWAY","4","3:06",1,3,24,73,81
"3449",3449,3449,"abdursh01","Shareef Abdur-Rahim",2003,"50",478,121202,"ATL","MIN","AWAY","1","8:11",1,3,24,11,6
"3490",3490,3490,"abdursh01","Shareef Abdur-Rahim",2003,"267",393,122002,"ATL","HOU","AWAY","3","10:06",0,3,27,53,42
"3534",3534,3534,"abdursh01","Shareef Abdur-Rahim",2003,"53",473,122702,"ATL","SAS","HOME","1","4:10",0,3,23,12,13
"3568",3568,3568,"abdursh01","Shareef Abdur-Rahim",2003,"270",363,122802,"ATL","WAS","AWAY","4","00:29.8",0,3,25,74,80
"3653",3653,3653,"abdursh01","Shareef Abdur-Rahim",2003,"41",480,11403,"ATL","MIL","AWAY","1","8:55",0,3,24,7,5
"3749",3749,3749,"abdursh01","Shareef Abdur-Rahim",2003,"251",381,12203,"ATL","POR","HOME","1OT","1:13",0,3,25,97,100
"3813",3813,3813,"abdursh01","Shareef Abdur-Rahim",2003,"224",434,12903,"ATL","PHI","AWAY","2","0:00",0,3,26,57,35
"3909",3909,3909,"abdursh01","Shareef Abdur-Rahim",2003,"62",475,21403,"ATL","IND","AWAY","4","1:02",0,3,24,85,85
"4026",4026,4026,"abdursh01","Shareef Abdur-Rahim",2003,"50",483,30403,"ATL","DEN","HOME","3","6:46",0,3,24,53,53
"4101",4101,4101,"abdursh01","Shareef Abdur-Rahim",2003,"249",393,31203,"ATL","MIL","HOME","3","6:18",1,3,25,64,62
"4116",4116,4116,"abdursh01","Shareef Abdur-Rahim",2003,"60",472,31403,"ATL","NYK","HOME","3","9:45",1,3,23,60,59
"4146",4146,4146,"abdursh01","Shareef Abdur-Rahim",2003,"269",394,31803,"ATL","CHI","AWAY","1","00:04.8",0,3,27,27,17
"4414",4414,4414,"abdursh01","Shareef Abdur-Rahim",2004,"164",463,110803,"ATL","POR","AWAY","3","4:02",1,3,25,60,60
"4486",4486,4486,"abdursh01","Shareef Abdur-Rahim",2004,"223",416,111703,"ATL","WAS","HOME","4","1:37",0,3,25,87,98
"4508",4508,4508,"abdursh01","Shareef Abdur-Rahim",2004,"76",472,112103,"ATL","SAS","AWAY","2","00:53.9",0,3,23,34,66
"4526",4526,4526,"abdursh01","Shareef Abdur-Rahim",2004,"244",394,112203,"ATL","CLE","HOME","3","2:23",0,3,25,70,62
"5015",5015,5015,"abdursh01","Shareef Abdur-Rahim",2004,"275",343,12504,"ATL","DET","AWAY","4","00:45.9",0,3,25,91,78
"5094",5094,5094,"abdursh01","Shareef Abdur-Rahim",2004,"63",481,20604,"ATL","BOS","AWAY","2","4:05",0,3,24,42,41
"5297",5297,5297,"abdursh01","Shareef Abdur-Rahim",2004,"52",486,31704,"POR","IND","AWAY","4","5:04",1,3,25,71,70
"5303",5303,5303,"abdursh01","Shareef Abdur-Rahim",2004,"264",353,32004,"POR","ORL","HOME","2","7:11",0,3,24,39,28
"5308",5308,5308,"abdursh01","Shareef Abdur-Rahim",2004,"226",427,32004,"POR","ORL","HOME","3","00:00.3",0,3,26,71,56
"5358",5358,5358,"abdursh01","Shareef Abdur-Rahim",2004,"50",467,40304,"POR","NOH","HOME","2","9:07",1,3,23,35,28
"5548",5548,5548,"abdursh01","Shareef Abdur-Rahim",2005,"249",373,113004,"POR","SEA","HOME","2","3:53",0,3,24,39,34
"5553",5553,5553,"abdursh01","Shareef Abdur-Rahim",2005,"50",468,113004,"POR","SEA","HOME","3","7:14",0,3,23,49,55
"5560",5560,5560,"abdursh01","Shareef Abdur-Rahim",2005,"52",475,120404,"POR","SEA","AWAY","3","6:30",1,3,24,61,69
"5669",5669,5669,"abdursh01","Shareef Abdur-Rahim",2005,"164",449,22305,"POR","LAL","HOME","4","00:00.2",0,3,24,83,86
"5710",5710,5710,"abdursh01","Shareef Abdur-Rahim",2005,"251",371,30405,"POR","IND","HOME","4","2:04",1,3,24,97,97
"5719",5719,5719,"abdursh01","Shareef Abdur-Rahim",2005,"269",371,30505,"POR","PHO","AWAY","2","7:11",1,3,26,32,43
"5722",5722,5722,"abdursh01","Shareef Abdur-Rahim",2005,"62",468,30505,"POR","PHO","AWAY","2","00:17.9",0,3,23,46,69
"6028",6028,6028,"abdursh01","Shareef Abdur-Rahim",2005,"251",398,41505,"POR","GSW","AWAY","1","6:44",1,3,26,16,13
"6217",6217,6217,"abdursh01","Shareef Abdur-Rahim",2006,"60",481,112905,"SAC","CHA","HOME","3","6:55",1,3,24,69,53
"6282",6282,6282,"abdursh01","Shareef Abdur-Rahim",2006,"239",424,121005,"SAC","SEA","AWAY","4","1:02",0,3,26,121,102
"6406",6406,6406,"abdursh01","Shareef Abdur-Rahim",2006,"218",424,12406,"SAC","PHI","AWAY","2","6:43",0,3,25,32,37
"6412",6412,6412,"abdursh01","Shareef Abdur-Rahim",2006,"256",386,12406,"SAC","PHI","AWAY","4","00:06.9",0,3,25,103,109
"6449",6449,6449,"abdursh01","Shareef Abdur-Rahim",2006,"231",409,20506,"SAC","UTA","HOME","3","0:00",0,3,25,65,58
"6559",6559,6559,"abdursh01","Shareef Abdur-Rahim",2006,"50",485,31706,"SAC","IND","AWAY","3","00:56.9",0,3,25,73,71
"6732",6732,6732,"abdursh01","Shareef Abdur-Rahim",2006,"244",424,43006,"SAC","SAS","HOME","3","00:07.6",0,3,27,75,64
"6740",6740,6740,"abdursh01","Shareef Abdur-Rahim",2006,"85",462,50506,"SAC","SAS","HOME","3","00:39.9",0,3,22,57,75
"6984",6984,6984,"abdursh01","Shareef Abdur-Rahim",2007,"65",472,123006,"SAC","GSW","HOME","4","1:20",0,3,23,119,94
"7011",7011,7011,"abdursh01","Shareef Abdur-Rahim",2007,"265",363,10607,"SAC","POR","HOME","1OT","0:00",0,3,25,105,110
"7269",7269,7269,"abdursh01","Shareef Abdur-Rahim",2007,"60",465,32107,"SAC","MIN","HOME","2","1:17",1,3,23,45,41
"7343",7343,7343,"abdursh01","Shareef Abdur-Rahim",2007,"49",468,41007,"SAC","MEM","AWAY","1","00:06.9",0,3,23,39,15
"7386",7386,7386,"abdursh01","Shareef Abdur-Rahim",2007,"167",455,41607,"SAC","NOK","HOME","2","1:10",0,3,24,61,57
"104425",104425,104425,"antetgi01","Giannis Antetokounmpo",2014,"215",427,110113,"MIL","BOS","AWAY","3","0:24",0,3,25,68,83
"104461",104461,104461,"antetgi01","Giannis Antetokounmpo",2014,"294",323,113013,"MIL","BOS","HOME","1","1:18",1,3,26,19,27
"104464",104464,104464,"antetgi01","Giannis Antetokounmpo",2014,"281",358,113013,"MIL","BOS","HOME","3","1:11",1,3,26,68,61
"104472",104472,104472,"antetgi01","Giannis Antetokounmpo",2014,"54",463,120413,"MIL","DET","HOME","3","6:13",0,3,22,54,62
"104475",104475,104475,"antetgi01","Giannis Antetokounmpo",2014,"190",447,120413,"MIL","DET","HOME","4","9:16",0,3,25,73,83
"104476",104476,104476,"antetgi01","Giannis Antetokounmpo",2014,"256",399,120613,"MIL","WAS","AWAY","1","3:25",0,3,26,24,20
"104480",104480,104480,"antetgi01","Giannis Antetokounmpo",2014,"215",440,120613,"MIL","WAS","AWAY","3","0:30",0,3,26,78,74
"104513",104513,104513,"antetgi01","Giannis Antetokounmpo",2014,"270",395,122013,"MIL","CLE","AWAY","3","7:39",1,3,27,57,55
"104523",104523,104523,"antetgi01","Giannis Antetokounmpo",2014,"198",435,122313,"MIL","CHA","AWAY","1","4:55",0,3,24,21,8
"104524",104524,104524,"antetgi01","Giannis Antetokounmpo",2014,"294",324,122313,"MIL","CHA","AWAY","2","4:23",1,3,26,50,39
"104525",104525,104525,"antetgi01","Giannis Antetokounmpo",2014,"226",432,122313,"MIL","CHA","AWAY","3","9:51",1,3,26,59,57
"104529",104529,104529,"antetgi01","Giannis Antetokounmpo",2014,"244",427,122713,"MIL","BRK","AWAY","1","11:17",0,3,27,0,0
"104540",104540,104540,"antetgi01","Giannis Antetokounmpo",2014,"261",361,122713,"MIL","BRK","AWAY","4","0:36",0,3,24,88,100
"104544",104544,104544,"antetgi01","Giannis Antetokounmpo",2014,"280",331,122813,"MIL","MIN","HOME","1","2:34",0,3,25,24,26
"104576",104576,104576,"antetgi01","Giannis Antetokounmpo",2014,"151",462,11114,"MIL","OKC","AWAY","2","4:59",0,3,24,25,34
"104588",104588,104588,"antetgi01","Giannis Antetokounmpo",2014,"242",429,11314,"MIL","TOR","AWAY","3","3:15",0,3,27,66,80
"104595",104595,104595,"antetgi01","Giannis Antetokounmpo",2014,"214",432,11514,"MIL","MEM","HOME","4","4:02",0,3,25,67,76
"104609",104609,104609,"antetgi01","Giannis Antetokounmpo",2014,"228",433,11914,"MIL","SAS","AWAY","2","3:28",1,3,26,33,47
"104612",104612,104612,"antetgi01","Giannis Antetokounmpo",2014,"225",422,11914,"MIL","SAS","AWAY","4","6:28",1,3,25,73,92
"104613",104613,104613,"antetgi01","Giannis Antetokounmpo",2014,"196",444,11914,"MIL","SAS","AWAY","4","1:05",0,3,25,80,105
"104619",104619,104619,"antetgi01","Giannis Antetokounmpo",2014,"154",466,12414,"MIL","CLE","AWAY","1","11:01",1,3,25,5,0
"104620",104620,104620,"antetgi01","Giannis Antetokounmpo",2014,"292",400,12414,"MIL","CLE","AWAY","1","9:39",0,3,29,5,2
"104623",104623,104623,"antetgi01","Giannis Antetokounmpo",2014,"263",381,12414,"MIL","CLE","AWAY","4","2:57",1,3,26,70,91
"104626",104626,104626,"antetgi01","Giannis Antetokounmpo",2014,"212",424,12514,"MIL","ATL","HOME","4","5:48",0,3,25,76,107
"104629",104629,104629,"antetgi01","Giannis Antetokounmpo",2014,"253",403,12514,"MIL","ATL","HOME","4","0:21",0,3,26,87,112
"104645",104645,104645,"antetgi01","Giannis Antetokounmpo",2014,"78",473,13114,"MIL","ORL","AWAY","3","3:23",0,3,23,56,79
"104648",104648,104648,"antetgi01","Giannis Antetokounmpo",2014,"69",470,13114,"MIL","ORL","AWAY","3","0:02",0,3,23,64,88
"104652",104652,104652,"antetgi01","Giannis Antetokounmpo",2014,"198",454,20114,"MIL","MEM","AWAY","3","5:03",1,3,26,58,53
"104664",104664,104664,"antetgi01","Giannis Antetokounmpo",2014,"231",410,20514,"MIL","DEN","AWAY","2","6:57",0,3,25,36,36
"104675",104675,104675,"antetgi01","Giannis Antetokounmpo",2014,"267",359,21014,"MIL","BOS","HOME","1","2:45",0,3,25,18,17
"104677",104677,104677,"antetgi01","Giannis Antetokounmpo",2014,"247",394,21014,"MIL","BOS","HOME","2","10:49",1,3,25,29,26
"104684",104684,104684,"antetgi01","Giannis Antetokounmpo",2014,"222",421,21814,"MIL","ORL","HOME","4","5:01",1,3,25,94,91
"104686",104686,104686,"antetgi01","Giannis Antetokounmpo",2014,"237",400,22014,"MIL","DEN","HOME","1","2:00",0,3,25,17,25
"104695",104695,104695,"antetgi01","Giannis Antetokounmpo",2014,"143",460,22214,"MIL","IND","HOME","2","5:23",0,3,24,25,44
"104696",104696,104696,"antetgi01","Giannis Antetokounmpo",2014,"251",391,22214,"MIL","IND","HOME","3","2:12",0,3,25,64,71
"104701",104701,104701,"antetgi01","Giannis Antetokounmpo",2014,"244",400,22414,"MIL","PHI","AWAY","2","8:50",1,3,25,45,31
"104702",104702,104702,"antetgi01","Giannis Antetokounmpo",2014,"53",470,22414,"MIL","PHI","AWAY","2","8:19",0,3,23,45,33
"104711",104711,104711,"antetgi01","Giannis Antetokounmpo",2014,"281",337,30114,"MIL","BRK","HOME","1","3:12",1,3,25,22,23
"104714",104714,104714,"antetgi01","Giannis Antetokounmpo",2014,"39",470,30114,"MIL","BRK","HOME","4","11:22",0,3,23,72,79
"104719",104719,104719,"antetgi01","Giannis Antetokounmpo",2014,"122",474,30314,"MIL","UTA","HOME","2","9:56",1,3,24,35,24
"104720",104720,104720,"antetgi01","Giannis Antetokounmpo",2014,"174",462,30314,"MIL","UTA","HOME","2","7:45",0,3,25,38,31
"104735",104735,104735,"antetgi01","Giannis Antetokounmpo",2014,"311",373,30714,"MIL","NOP","AWAY","2","6:31",0,3,29,33,32
"104744",104744,104744,"antetgi01","Giannis Antetokounmpo",2014,"237",414,31014,"MIL","ORL","HOME","4","2:50",1,3,26,95,81
"104748",104748,104748,"antetgi01","Giannis Antetokounmpo",2014,"234",414,31114,"MIL","MIN","AWAY","4","9:02",0,3,25,85,91
"104753",104753,104753,"antetgi01","Giannis Antetokounmpo",2014,"53",481,31314,"MIL","ATL","AWAY","3","0:22",0,3,24,67,68
"104759",104759,104759,"antetgi01","Giannis Antetokounmpo",2014,"251",381,31614,"MIL","CHA","HOME","2","9:33",0,3,25,32,24
"104768",104768,104768,"antetgi01","Giannis Antetokounmpo",2014,"266",353,31814,"MIL","POR","AWAY","3","0:04",0,3,24,72,75
"104797",104797,104797,"antetgi01","Giannis Antetokounmpo",2014,"266",400,33114,"MIL","DET","AWAY","2","10:37",1,3,27,35,38
"104806",104806,104806,"antetgi01","Giannis Antetokounmpo",2014,"244",406,40214,"MIL","MIA","AWAY","4","5:16",1,3,26,66,90
"104818",104818,104818,"antetgi01","Giannis Antetokounmpo",2014,"135",463,40514,"MIL","TOR","HOME","4","4:45",0,3,24,84,86
"104827",104827,104827,"antetgi01","Giannis Antetokounmpo",2014,"289",351,41214,"MIL","WAS","AWAY","2","2:52",1,3,26,44,47
"104857",104857,104857,"antetgi01","Giannis Antetokounmpo",2015,"304",346,110414,"MIL","IND","AWAY","1","2:35",0,3,28,14,15
"104945",104945,104945,"antetgi01","Giannis Antetokounmpo",2015,"18",479,111914,"MIL","BRK","AWAY","2OT","2:11",0,3,24,107,108
"104998",104998,104998,"antetgi01","Giannis Antetokounmpo",2015,"223",432,112914,"MIL","HOU","HOME","3","11:14",0,3,26,46,53
"105094",105094,105094,"antetgi01","Giannis Antetokounmpo",2015,"288",324,122014,"MIL","LAC","AWAY","3","0:00",0,3,25,83,82
"105129",105129,105129,"antetgi01","Giannis Antetokounmpo",2015,"65",474,123114,"MIL","CLE","AWAY","3","0:35",0,3,23,71,54
"105139",105139,105139,"antetgi01","Giannis Antetokounmpo",2015,"280",342,10215,"MIL","IND","HOME","4","5:42",0,3,25,78,83
"105383",105383,105383,"antetgi01","Giannis Antetokounmpo",2015,"75",477,30315,"MIL","DEN","AWAY","4","3:52",1,3,24,89,95
"105445",105445,105445,"antetgi01","Giannis Antetokounmpo",2015,"51",476,31215,"MIL","IND","AWAY","1OT","2:54",0,3,24,98,101
"105524",105524,105524,"antetgi01","Giannis Antetokounmpo",2015,"333",332,32615,"MIL","IND","HOME","2","0:00",0,3,30,59,47
"105629",105629,105629,"antetgi01","Giannis Antetokounmpo",2015,"247",410,41815,"MIL","CHI","AWAY","4","0:01",0,3,26,91,103
"105700",105700,105700,"antetgi01","Giannis Antetokounmpo",2016,"258",385,103015,"MIL","WAS","HOME","3","7:00",0,3,25,74,67
"105719",105719,105719,"antetgi01","Giannis Antetokounmpo",2016,"289",352,110215,"MIL","BRK","AWAY","2","3:35",0,3,26,52,46
"105737",105737,105737,"antetgi01","Giannis Antetokounmpo",2016,"53",462,110415,"MIL","PHI","HOME","3","7:45",1,3,22,52,52
"105755",105755,105755,"antetgi01","Giannis Antetokounmpo",2016,"29",468,110715,"MIL","BRK","HOME","1","9:22",1,3,22,6,4
"105767",105767,105767,"antetgi01","Giannis Antetokounmpo",2016,"52",473,111015,"MIL","BOS","HOME","2","8:04",0,3,23,27,35
"105784",105784,105784,"antetgi01","Giannis Antetokounmpo",2016,"206",422,111115,"MIL","DEN","AWAY","3","5:12",0,3,23,75,73
"105802",105802,105802,"antetgi01","Giannis Antetokounmpo",2016,"233",409,111415,"MIL","CLE","HOME","3","7:12",0,3,24,58,55
"105825",105825,105825,"antetgi01","Giannis Antetokounmpo",2016,"57",475,111915,"MIL","CLE","AWAY","2","4:32",1,3,23,36,47
"105847",105847,105847,"antetgi01","Giannis Antetokounmpo",2016,"120",473,112315,"MIL","DET","HOME","3","3:43",1,3,24,77,60
"105853",105853,105853,"antetgi01","Giannis Antetokounmpo",2016,"45",468,112515,"MIL","SAC","HOME","1","9:39",1,3,22,7,10
"105857",105857,105857,"antetgi01","Giannis Antetokounmpo",2016,"45",470,112515,"MIL","SAC","HOME","3","9:05",0,3,23,76,77
"105893",105893,105893,"antetgi01","Giannis Antetokounmpo",2016,"258",365,120215,"MIL","SAS","AWAY","2","6:56",0,3,24,27,38
"105919",105919,105919,"antetgi01","Giannis Antetokounmpo",2016,"50",465,120515,"MIL","NYK","HOME","3","3:55",0,3,22,75,61
"105939",105939,105939,"antetgi01","Giannis Antetokounmpo",2016,"258",388,120915,"MIL","LAC","HOME","3","6:05",0,3,25,56,60
"105965",105965,105965,"antetgi01","Giannis Antetokounmpo",2016,"260",393,121215,"MIL","GSW","HOME","4","4:17",0,3,25,95,86
"105989",105989,105989,"antetgi01","Giannis Antetokounmpo",2016,"165",476,121615,"MIL","LAC","AWAY","4","1:23",1,3,26,88,100
"106023",106023,106023,"antetgi01","Giannis Antetokounmpo",2016,"243",396,122615,"MIL","TOR","HOME","3","9:39",0,3,24,55,60
"106083",106083,106083,"antetgi01","Giannis Antetokounmpo",2016,"34",478,10516,"MIL","CHI","AWAY","1","9:48",0,3,23,0,5
"106112",106112,106112,"antetgi01","Giannis Antetokounmpo",2016,"34",472,11016,"MIL","NYK","AWAY","2","0:03",0,3,23,41,51
"106165",106165,106165,"antetgi01","Giannis Antetokounmpo",2016,"274",347,11616,"MIL","CHO","AWAY","3","4:43",0,3,24,74,64
"106231",106231,106231,"antetgi01","Giannis Antetokounmpo",2016,"258",365,12916,"MIL","MIA","HOME","2","0:00",0,3,24,48,55
"106242",106242,106242,"antetgi01","Giannis Antetokounmpo",2016,"57",470,20116,"MIL","SAC","AWAY","1","5:48",0,3,23,11,13
"106270",106270,106270,"antetgi01","Giannis Antetokounmpo",2016,"52",473,20516,"MIL","UTA","AWAY","3","1:19",0,3,23,60,58
"106272",106272,106272,"antetgi01","Giannis Antetokounmpo",2016,"49",473,20516,"MIL","UTA","AWAY","4","6:00",1,3,23,69,70
"106289",106289,106289,"antetgi01","Giannis Antetokounmpo",2016,"44",467,21116,"MIL","WAS","HOME","1","8:44",1,3,22,6,7
"106296",106296,106296,"antetgi01","Giannis Antetokounmpo",2016,"45",468,21116,"MIL","WAS","HOME","3","5:20",0,3,22,59,60
"106317",106317,106317,"antetgi01","Giannis Antetokounmpo",2016,"240",424,21916,"MIL","CHO","HOME","3","0:01",0,3,26,78,70
"106335",106335,106335,"antetgi01","Giannis Antetokounmpo",2016,"83",470,22016,"MIL","ATL","AWAY","4","7:47",0,3,23,81,80
"106338",106338,106338,"antetgi01","Giannis Antetokounmpo",2016,"65",470,22216,"MIL","LAL","HOME","1","9:21",0,3,23,6,2
"106425",106425,106425,"antetgi01","Giannis Antetokounmpo",2016,"68",470,30616,"MIL","OKC","HOME","1","4:20",0,3,23,4,22
"106438",106438,106438,"antetgi01","Giannis Antetokounmpo",2016,"286",324,30616,"MIL","OKC","HOME","4","10:11",0,3,25,82,88
"106450",106450,106450,"antetgi01","Giannis Antetokounmpo",2016,"53",470,30716,"MIL","CHI","AWAY","2","1:59",0,3,23,36,42
"106539",106539,106539,"antetgi01","Giannis Antetokounmpo",2016,"165",468,32116,"MIL","DET","AWAY","3","9:15",1,3,25,59,51
"106540",106540,106540,"antetgi01","Giannis Antetokounmpo",2016,"273",378,32116,"MIL","DET","AWAY","3","8:44",0,3,26,59,52
"106565",106565,106565,"antetgi01","Giannis Antetokounmpo",2016,"248",385,32316,"MIL","CLE","AWAY","4","1:47",0,3,24,100,108
"106585",106585,106585,"antetgi01","Giannis Antetokounmpo",2016,"255",372,32616,"MIL","CHO","HOME","2","7:12",0,3,24,27,37
"106605",106605,106605,"antetgi01","Giannis Antetokounmpo",2016,"268",395,40116,"MIL","ORL","HOME","4","9:00",0,3,26,89,91
"106647",106647,106647,"antetgi01","Giannis Antetokounmpo",2016,"263",372,40516,"MIL","CLE","HOME","4","7:11",0,3,25,70,99
"106657",106657,106657,"antetgi01","Giannis Antetokounmpo",2016,"58",478,40816,"MIL","BOS","AWAY","3","8:14",1,3,23,67,79
"106659",106659,106659,"antetgi01","Giannis Antetokounmpo",2016,"302",322,40816,"MIL","BOS","AWAY","3","5:34",0,3,26,73,84
"106683",106683,106683,"antetgi01","Giannis Antetokounmpo",2016,"57",475,41316,"MIL","IND","HOME","1","10:48",0,3,23,3,6
"106690",106690,106690,"antetgi01","Giannis Antetokounmpo",2016,"228",417,41316,"MIL","IND","HOME","3","6:06",0,3,25,56,73
"106711",106711,106711,"antetgi01","Giannis Antetokounmpo",2017,"238",416,102616,"MIL","CHO","HOME","3","4:18",1,3,25,57,73
"106739",106739,106739,"antetgi01","Giannis Antetokounmpo",2017,"272",348,103016,"MIL","DET","AWAY","1","3:03",0,3,24,15,20
"106744",106744,106744,"antetgi01","Giannis Antetokounmpo",2017,"268",383,103016,"MIL","DET","AWAY","3","7:51",1,3,26,50,57
"106752",106752,106752,"antetgi01","Giannis Antetokounmpo",2017,"248",401,110116,"MIL","NOP","AWAY","1","7:53",0,3,25,7,10
"106799",106799,106799,"antetgi01","Giannis Antetokounmpo",2017,"214",414,110616,"MIL","DAL","AWAY","3","7:39",0,3,24,45,51
