"","X.1","X","ID","Player","Season","Top.px...Location.","Left.px...location.","Date","Team","Opponent","Location","Quarter","Game_Clock","Outcome..1.if.made..0.otherwise.","Shot_Value","Shot_Distance.ft.","Team_Score","Opponent_Score"
"596",596,596,"abdursh01","Shareef Abdur-Rahim",2001,"312",431,103100,"VAN","SEA","HOME","1","0:00",0,3,32,34,18
"631",631,631,"abdursh01","Shareef Abdur-Rahim",2001,"267",390,110400,"VAN","LAL","HOME","3","00:01.1",0,3,26,60,77
"648",648,648,"abdursh01","Shareef Abdur-Rahim",2001,"109",473,110800,"VAN","DAL","AWAY","1","11:46",1,3,24,3,0
"691",691,691,"abdursh01","Shareef Abdur-Rahim",2001,"54",466,111600,"VAN","LAC","HOME","2","00:01.9",0,3,23,38,47
"702",702,702,"abdursh01","Shareef Abdur-Rahim",2001,"105",473,112000,"VAN","DEN","HOME","1","7:53",0,3,24,13,7
"891",891,891,"abdursh01","Shareef Abdur-Rahim",2001,"84",466,121100,"VAN","HOU","HOME","3","5:35",0,3,23,46,45
"926",926,926,"abdursh01","Shareef Abdur-Rahim",2001,"80",471,121700,"VAN","ORL","HOME","2","4:20",0,3,23,41,41
"967",967,967,"abdursh01","Shareef Abdur-Rahim",2001,"259",393,122300,"VAN","LAC","AWAY","2","4:16",0,3,26,30,39
"1092",1092,1092,"abdursh01","Shareef Abdur-Rahim",2001,"52",483,10901,"VAN","DEN","HOME","4","2:15",1,3,24,101,103
"1095",1095,1095,"abdursh01","Shareef Abdur-Rahim",2001,"76",475,11201,"VAN","SEA","AWAY","1","11:00",0,3,24,2,2
"1147",1147,1147,"abdursh01","Shareef Abdur-Rahim",2001,"204",441,11501,"VAN","LAL","AWAY","1OT","00:27.8",1,3,25,110,111
"1208",1208,1208,"abdursh01","Shareef Abdur-Rahim",2001,"120",466,12501,"VAN","DAL","AWAY","1","10:18",0,3,24,0,4
"1248",1248,1248,"abdursh01","Shareef Abdur-Rahim",2001,"42",475,12901,"VAN","NJN","HOME","4","00:48.9",0,3,24,91,81
"1291",1291,1291,"abdursh01","Shareef Abdur-Rahim",2001,"213",420,20301,"VAN","CHI","HOME","3","9:34",0,3,24,49,39
"1456",1456,1456,"abdursh01","Shareef Abdur-Rahim",2001,"246",386,22401,"VAN","CHI","AWAY","4","00:44.9",0,3,24,75,88
"1469",1469,1469,"abdursh01","Shareef Abdur-Rahim",2001,"248",393,22701,"VAN","DAL","HOME","2","1:39",1,3,25,55,59
"1473",1473,1473,"abdursh01","Shareef Abdur-Rahim",2001,"170",456,22701,"VAN","DAL","HOME","4","11:41",1,3,25,86,87
"1585",1585,1585,"abdursh01","Shareef Abdur-Rahim",2001,"236",420,31401,"VAN","CHH","AWAY","3","1:36",0,3,26,66,71
"1612",1612,1612,"abdursh01","Shareef Abdur-Rahim",2001,"78",473,31701,"VAN","MIA","AWAY","2","10:08",0,3,23,20,30
"1705",1705,1705,"abdursh01","Shareef Abdur-Rahim",2001,"78",475,32901,"VAN","NYK","HOME","4","5:34",0,3,24,82,62
"1712",1712,1712,"abdursh01","Shareef Abdur-Rahim",2001,"240",454,40101,"VAN","UTA","HOME","1","00:01.9",0,3,29,22,25
"1821",1821,1821,"abdursh01","Shareef Abdur-Rahim",2001,"54",471,41401,"VAN","HOU","HOME","4","9:30",0,3,23,71,77
"1933",1933,1933,"abdursh01","Shareef Abdur-Rahim",2002,"67",473,110501,"ATL","LAC","AWAY","3","8:39",0,3,23,53,59
"2035",2035,2035,"abdursh01","Shareef Abdur-Rahim",2002,"244",397,112101,"ATL","BOS","AWAY","3","00:01.3",1,3,25,72,62
"2107",2107,2107,"abdursh01","Shareef Abdur-Rahim",2002,"238",393,112601,"ATL","NYK","AWAY","4","00:16.7",0,3,24,83,85
"2131",2131,2131,"abdursh01","Shareef Abdur-Rahim",2002,"46",468,112901,"ATL","CLE","AWAY","4","5:51",0,3,23,92,86
"2251",2251,2251,"abdursh01","Shareef Abdur-Rahim",2002,"261",403,122101,"ATL","PHI","AWAY","3","8:42",0,3,27,49,56
"2257",2257,2257,"abdursh01","Shareef Abdur-Rahim",2002,"78",473,122201,"ATL","CHH","HOME","1","3:23",0,3,23,12,24
"2296",2296,2296,"abdursh01","Shareef Abdur-Rahim",2002,"42",468,122701,"ATL","MIA","HOME","1","2:21",0,3,23,15,31
"2308",2308,2308,"abdursh01","Shareef Abdur-Rahim",2002,"141",468,122701,"ATL","MIA","HOME","3","00:00.3",1,3,25,69,80
"2425",2425,2425,"abdursh01","Shareef Abdur-Rahim",2002,"284",331,11202,"ATL","BOS","HOME","2","3:43",0,3,25,37,47
"2439",2439,2439,"abdursh01","Shareef Abdur-Rahim",2002,"215",416,11502,"ATL","DAL","HOME","2","3:09",0,3,24,48,49
"2479",2479,2479,"abdursh01","Shareef Abdur-Rahim",2002,"48",466,11902,"ATL","MIL","HOME","3","11:24",0,3,23,60,59
"2571",2571,2571,"abdursh01","Shareef Abdur-Rahim",2002,"177",460,20202,"ATL","LAC","HOME","3","3:39",1,3,25,64,65
"2685",2685,2685,"abdursh01","Shareef Abdur-Rahim",2002,"63",483,21902,"ATL","SAC","AWAY","2","1:16",0,3,24,37,49
"2871",2871,2871,"abdursh01","Shareef Abdur-Rahim",2002,"286",342,31502,"ATL","PHO","HOME","4","6:04",0,3,26,84,71
"3014",3014,3014,"abdursh01","Shareef Abdur-Rahim",2002,"42",468,40202,"ATL","MIL","HOME","3","1:37",1,3,23,73,59
"3169",3169,3169,"abdursh01","Shareef Abdur-Rahim",2003,"45",473,103102,"ATL","UTA","HOME","3","11:11",1,3,23,55,46
